Unique Key,Collectors Name,Collecting Event,Start,Night Low (°F),End,Day High (°F),Precipitation (Yes/No),MMWR Week,Latitude,Longitute,County,City,Collection Site,Number of Traps,Collecting Method,Pool ID,Genus,Species,Number of Specimens,LAC Result,SLE Result,WNV Result,EEE Result,Adult Females,Adult Males,Collectors Organization,Test Result Date,ID Date,Location,Data Entrant,Date of Data Entry,,,,,,,,,,
297,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,204,Aedes,Aedes vexans,20,Negative,Negative,Negative,Negative,20,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
298,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,204,Aedes,Aedes trivittatus,30,Negative,Negative,Negative,Negative,30,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
299,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,205,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,2,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
300,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,206,Aedes,Aedes trivittatus,29,Negative,Negative,Negative,Negative,29,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
301,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,206,Aedes,Aedes vexans,20,Negative,Negative,Negative,Negative,20,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,6/22/2017,,,,,,,,,,
302,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,205,Culex,Culex restuans,1,Negative,Negative,Negative,Negative,1,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
303,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,207,Aedes,Aedes vexans,18,Negative,Negative,Negative,Negative,18,0,Local Health Department (Berkeley),7/3/2017,7/16/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
304,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,207,Aedes,Aedes trivittatus,32,Negative,Negative,Negative,Negative,32,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
305,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,208,Aedes,Aedes trivittatus,18,Negative,Negative,Negative,Negative,16,2,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
306,Joshua Hardesty,61,6/6/2017,56,6/7/2017,67,no,23,39.457,-78.0397,Berkeley,Martinsburg,Rural site,2,CDC Light Trap WITH dry ice,205,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,2,0,Local Health Department (Berkeley),7/3/2017,6/22/2017,"Poor House Farm Park, Martinsburg, Berkeley Co., WV",Eric Dotseth,7/16/2017,,,,,,,,,,
