UniqueKey,CollectingEventID,StartCollectingDate,EndCollectingDate,MMWRWeek,Latitude,Longitude,County,NearestPopulatedLocation,CollectionSite,NumberofTraps,CollectingMethod,PoolID,Genus,Species,NumberofSpecimens,LACResult,SLEResult,WNVResult,EEEResult,AdultFemales,AdultMales,NearestStreetAddress
8,1,5/25/2017,5/26/2017,21,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Gravid Trap,1,Anopheles,Anopheles punctipennis,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Elk Estates, Elkview, Kanawha Co., WV"
9,1,5/25/2017,5/26/2017,21,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,1,Anopheles,Anopheles punctipennis,4,Not Tested,Not Tested,Not Tested,Not Tested,4,0,"Elk Estates, Elkview, Kanawha Co., WV"
10,1,5/25/2017,5/26/2017,21,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Gravid Trap,2,Aedes,Aedes japonicus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Elk Estates, Elkview, Kanawha Co., WV"
11,1,5/25/2017,5/26/2017,21,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,3,Uranotaenia,Uranotaenia sappharina,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Elk Estates, Elkview, Kanawha Co., WV"
12,1,5/25/2017,5/26/2017,21,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,4,Culex,Culex erraticus,22,Negative,Negative,Negative,Negative,22,0,"Elk Estates, Elkview, Kanawha Co., WV"
13,1,5/25/2017,5/26/2017,21,38.4446,-81.4509,Kanawha,Elkview,Residence,3,CDC Light Trap WITH dry ice,4,Culex,Culex restuans,2,Negative,Negative,Negative,Negative,1,1,"Elk Estates, Elkview, Kanawha Co., WV"
14,2,5/25/2017,5/26/2017,21,38.373,-81.5859,Kanawha,Charleston,Residence,3,CDC Gravid Trap,5,Culex,Culex erraticus,1,Not Tested,Not Tested,Not Tested,Not Tested,1,0,"Air National Guard, 1679 Coonskin Drive, Charleston, Kanawha Co., WV"
15,2,5/25/2017,5/26/2017,21,38.373,-81.5859,Kanawha,Charleston,Residence,3,CDC Gravid Trap,5,Culex,Culex restuans,5,Not Tested,Not Tested,Not Tested,Not Tested,5,0,"Air National Guard, 1679 Coonskin Drive, Charleston, Kanawha Co., WV"
16,3,5/17/2017,5/18/2017,20,38.3996,-82.5276,Wayne,Huntington,Residence,5,CDC Gravid Trap,6,Culex,Culex restuans,50,Negative,Negative,Negative,Negative,50,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
17,3,5/17/2017,5/18/2017,20,38.3996,-82.5276,Wayne,Huntington,Residence,5,CDC Gravid Trap,7,Aedes,Aedes albopictus,2,Not Tested,Not Tested,Not Tested,Not Tested,2,0,"5010 Sunset Drive, Huntington, Cabell Co., WV"
18,3,5/17/2017,5/18/2017,20,38.3996,-82.5276,Wayne,Huntington,Residence,3,CDC Light Trap WITH dry ice,7,Aedes,Aedes albopictus,4,Not Tested,Not Tested,Not Tested,Not Tested,4,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
19,3,5/17/2017,5/18/2017,20,38.3996,-82.5276,Wayne,Huntington,Residence,3,CDC Light Trap WITH dry ice,8,Culex,Culex restuans,5,Not Tested,Not Tested,Not Tested,Not Tested,5,0,"5010 Sunset Drive, Huntington, Wayne Co., WV"
